title,director,year,country,critic_score,user_score,poster,rt_url
Graveyard Shift,Ralph S. Singleton,1990,United States,13,22%,https://resizing.flixster.com/NDbkEG2Ps_DmWcVEcz9eDruk3Qk=/206x305/v1.bTsxMTIwOTk3NjtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/graveyard_shift
Gremlins 2: The New Batch,Joe Dante,1990,United States,67,57%,https://resizing.flixster.com/FBc1BtTA8r8lkpL31bmiyt6419k=/206x305/v1.bTsxMTIwNDYwNDtqOzE3MzE5OzEyMDA7MTI5OTsxNzMy,https://rottentomatoes.com/m/gremlins_2_the_new_batch
Grim Prairie Tales,Wayne Coe,1990,United States,,,,
The Guardian,William Friedkin,1990,United States,13,32%,https://resizing.flixster.com/Kw1h_WmEUol4-2SSw21D_y1bero=/206x305/v1.bTsxMTYxNTM2MTtqOzE3MzI0OzEyMDA7Nzk4OzEwNjQ,https://rottentomatoes.com/m/1028564-guardian
Hardware,Richard Stanley,1990,United Kingdom & United States,50,53%,https://resizing.flixster.com/G-1Kq9aGWgMQ8_Q6RlEFah0VZH4=/206x305/v1.bTsxMTYxNTY0MjtqOzE3MzI0OzEyMDA7NjY3OzEwMDA,https://rottentomatoes.com/m/hardware
The Haunting of Morella,Jim Wynorski,1990,United States,,,,
A Holy Place,Djordje Kadijevic,1990,Socialist Federal Republic of Yugoslavia,,,,
The Hook of Woodland Heights,Michael Savino,1990,United States,,,,
House 5,Claudio Fragasso,1990,Italy,,,,
I Bought a Vampire Motorcycle,Dirk Campbell,1990,United Kingdom,,,,
I'm Dangerous Tonight,Tobe Hooper,1990,United States,,21%,https://resizing.flixster.com/gVtbCNhHXXK25Q1gBPsEr5Nc3go=/206x305/v1.bTsxMjExOTIyOTtqOzE3Mjg1OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/im_dangerous_tonight
"Initiation: Silent Night, Deadly Night 4",Brian Yuzna,1990,United States,,21%,https://resizing.flixster.com/Unr3535yoiCWpnY3ruJjHeKtapg=/206x305/v1.bTsxMTYxODI4ODtqOzE3MzI0OzEyMDA7NjEwOzEwOTE,https://rottentomatoes.com/m/silent_night_deadly_night_4_initiation
It,Tommy Lee Wallace,1990,United States,,,,
Jacob's Ladder,Adrian Lyne,1990,United States,69,85%,https://resizing.flixster.com/p9fUNfLdNhdiu2f8-gQfA7uHkPA=/206x305/v1.bTsxMTIxNDAwNjtqOzE3MzE5OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/jacobs_ladder
Killer Crocodile II,Giannetto De Rossi,1990,Italy & United States,,,,
Leatherface: The Texas Chainsaw Massacre III,Jeff Burr,1990,United States,19,32%,https://resizing.flixster.com/1kSzw1VZzsauJj96_yJaSUuwaDo=/206x305/v1.bTsxMTI5NDk0NjtqOzE3MzIwOzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/leatherface_the_texas_chainsaw_massacre_3
Linnea Quigley's Horror Workout,Kenneth J. Hall,1990,United States,,,,
Maniac Nurses Find Ecstasy,L&eacute;on Paul De Bruyn,1990,Belgium & Hungary & United States,,26%,https://resizing.flixster.com/3jdp3sD587mWYGKgB_O6U1oqleg=/206x305/v1.bTsxMTIwNjMwNjtqOzE3MzE5OzEyMDA7MTI3NTsxNjU2,https://rottentomatoes.com/m/maniac_nurses_find_ecstasy
Masque of the Red Dead,Alan Birkinshaw,1990,United States,,,,
Meridian: Kiss of the Beast,Charles Band,1990,United States,,29%,https://resizing.flixster.com/kiNl0xfshIYYAQjNrtxjQSezQKE=/206x305/v1.bTsxMTIyNjgxNjtqOzE3MzE5OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/meridian_kiss_of_the_beast
Mirage,Bill Crain,1990,United States,,,,
"Mirror, Mirror",Marina Sargenti,1990,United States,,30%,https://resizing.flixster.com/_uzw0Ikydc1CsotrKms7Teim3I4=/206x305/v1.bTsxMTIyNTM4OTtqOzE3MzE5OzEyMDA7MTUwODsyMTQ3,https://rottentomatoes.com/m/mirror_mirror
Misery,Rob Reiner,1990,United States,89,89%,https://resizing.flixster.com/6gkDuJEfF6CpQg2X5lJntZBdFeM=/206x305/v1.bTsxMTI5MjI0MjtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/misery
The Night Brings Charlie,Tom Logan,1990,United States,,30%,https://resizing.flixster.com/TMRchLdQhjqR1xAVgNbku43SOMk=/206x305/v1.bTsxMTE1NDM4MTtwOzE3MzE5OzEyMDA7MjAwOzI4MA,https://rottentomatoes.com/m/the_night_brings_charlie
Night of the Dribbler,Jack Bravman,1990,United States,,,,
Night of the Living Dead,Tom Savini,1990,United States,,,,
Night Shadow,Randolph Cohlan,1990,United States,,5%,https://resizing.flixster.com/1v9JEq2_DP7wPnvltNAulbqcSgw=/206x305/v1.bTsxMTIxNzc3NjtqOzE3MzE5OzEyMDA7MTUzMjsyMTU1,https://rottentomatoes.com/m/night_shadow
Nightbreed,Clive Barker,1990,Canada & United States,36,60%,https://resizing.flixster.com/vbo7NjTfRoX-bduMEmzJnjdAtY8=/206x305/v1.bTsxMTI5MTAzODtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/nightbreed
Pledge Night,Paul Ziller,1990,United States,,23%,https://resizing.flixster.com/Mk9UOrUHqeAtkTLMrKfrgzv1eI4=/206x305/v1.bTsxMTIzMTQ5MTtqOzE3MzE5OzEyMDA7MTIwOTsyMjA1,https://rottentomatoes.com/m/pledge_night
Predator 2,Stephen Hopkins,1990,United States,25,44%,https://resizing.flixster.com/adRDk6ZNBxB9kPYuwoEgBX4kaQs=/206x305/v1.bTsxMTIxMDA1MjtqOzE3MzE5OzEyMDA7MTE0OTsxNTMy,https://rottentomatoes.com/m/predator_2
Prom Night III: The Last Kiss,Ron Oliver,1990,Canada,,,,
Psycho IV: The Beginning,Mick Garris,1990,United States,,,,
The Reflecting Skin,Philip Ridley,1990,Canada & United Kingdom,83,79%,https://resizing.flixster.com/_GK_hta2oeR5bhYfJgq8lmWm0rs=/206x305/v1.bTsxMTYyMTQ2OTtqOzE3MzI0OzEyMDA7NjY2Ozk1MA,https://rottentomatoes.com/m/the_reflecting_skin
Repossessed,Bob Logan,1990,United States,0,36%,https://resizing.flixster.com/1ccGFvNyuaOB7HNAatElIwwx1C0=/206x305/v1.bTsxMTIwNDU0NTtqOzE3MzE5OzEyMDA7MTQzMTsxOTA4,https://rottentomatoes.com/m/repossessed
Shock 'Em Dead,Mark Freed,1990,United States,,46%,https://resizing.flixster.com/c3xH0yZfK8zUI--PQpbFGC0AsKU=/206x305/v1.bTsxMjMyNzc1OTtqOzE3Mjg3OzEyMDA7Mjk1OzQ3NQ,https://rottentomatoes.com/m/shock_em_dead
Singapore Sling,Nikos Nikolaidis,1990,Greece,,72%,https://resizing.flixster.com/E-bn5saF3hn111cjoySKxn1z0UY=/206x305/v1.bTsxMjExMTA2NDtqOzE3Mjg1OzEyMDA7OTk7MTQw,https://rottentomatoes.com/m/singapore_sling
The Sleeping Car,Douglas Curtis,1990,United States,,,,
Slumber Party Massacre III,Sally Mattison,1990,United States,,30%,https://resizing.flixster.com/_XdRgXYEReQHlffRX0o1WHbldDU=/206x305/v1.bTsxMTYxOTM2MDtqOzE3MzI0OzEyMDA7NzEyOzEwMDA,https://rottentomatoes.com/m/slumber_party_massacre_iii
Sorority House Massacre II,Jim Wynorski,1990,United States,,34%,https://resizing.flixster.com/0UqJG-DinOGAUi5A7raADMj7J3o=/206x305/v1.bTsxMTYxOTM2MTtqOzE3MzI0OzEyMDA7NzMwOzEwNTU,https://rottentomatoes.com/m/sorority_house_massacre_2
Sundown: The Vampire in Retreat,Anthony Hickox,1990,United States,,53%,https://resizing.flixster.com/NE5DJ_559U5T1jbdEl2zYNTBdfE=/206x305/v1.bTsxMTI5NzE4MDtqOzE3MzIwOzEyMDA7MTQ2MTsxOTQ4,https://rottentomatoes.com/m/sundown_the_vampire_in_retreat
Syngenor,George Elanjian Jr.,1990,United States,,20%,https://resizing.flixster.com/sQ0ZhjEzU3YybLm499_XB68sJMw=/206x305/v1.bTsxMjMyNjUzOTtqOzE3Mjg3OzEyMDA7MjI2OzMyMA,https://rottentomatoes.com/m/syngenor
Tales from the Darkside: The Movie,John Harrison,1990,United States,35,44%,https://resizing.flixster.com/R9LrPGHTrZakzDrfnPpgfHVSizY=/206x305/v1.bTsxMTM3MjY2NjtqOzE3MzIxOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/tales_from_the_darkside_the_movie
Tremors,Ron Underwood,1990,United States,85,75%,https://resizing.flixster.com/s1fSuKSlV3PLBC_8Z07Yxem7drM=/206x305/v1.bTsxMTE3MzY2MDtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/tremors
Two Evil Eyes,Dario Argento,1990,Italy & United States,55,35%,https://resizing.flixster.com/3Sn26xvGF-BZPV7vFaM5gnZkPwY=/206x305/v1.bTsxMTIxMDE5OTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/two_evil_eyes
Voodoo Dawn,Steven Fierberg,1990,United States,,60%,https://resizing.flixster.com/5a1sHsxRbT98mQ9AEIYbYYDXImw=/206x305/v1.bTsxMjMxNjk2NjtqOzE3Mjg3OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/1029862-voodoo_dawn
Watchers II,Thierry Notz,1990,Canada & United States,,19%,https://resizing.flixster.com/_KRnN8EfMpfs7xUOb1lrmknsyt0=/206x305/v1.bTsxMjMyNjUwODtqOzE3Mjg3OzEyMDA7MTIwOzIxNA,https://rottentomatoes.com/m/watchers_2
Wheels of Terror,Christopher Cain,1990,United States,,36%,https://resizing.flixster.com/f5ip0SUaJwPj966pKkV-owFiAhg=/206x305/v1.bTsxMTU2ODAzMTtqOzE3MzIzOzEyMDA7NDU3OzY0NA,https://rottentomatoes.com/m/wheels_of_terror
Witchcraft II: The Temptress,Mark Woods,1990,United States,,,,
Witchcraft III: The Kiss of Death,Rachel Feldman,1990,United States,,,,
Xtro II: The Second Encounter,Harry Bromley Davenport,1990,Canada,,,,
976-EVIL 2: The Astral Factor,Jim Wynorski,1991,United States,,,,
Alligator II: The Mutation,Jon Hess,1991,United States,,,,
Bad Karma,Alex Chandon,1991,United Kingdom,,,,
Begotten,E. Elias Merhige,1991,United States,,,,
Blood Ties,Eric Red,1991,United States,,,,
Body Parts,Eric Red,1991,United States,40,36%,https://resizing.flixster.com/yInkUEW04VvJWy7graKXCw3xQmw=/206x305/v1.bTsxMTIxNDAyMTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1040324-body_parts
"Child of Darkness, Child of Light",Marina Sargenti,1991,United States,,21%,https://resizing.flixster.com/3mZpz5PRQvxNLury4k9u0FbRomg=/206x305/v1.bTsxMTU1NTE2MTtqOzE3MzIzOzEyMDA7NDAwOzcyMw,https://rottentomatoes.com/m/child_of_darkness_child_of_light
Children of the Night,Tony Randel,1991,,,34%,https://resizing.flixster.com/4mk3WW9uc65uIV87xQ3AX8ymqfg=/206x305/v1.bTsxMTIxNjUyNDtqOzE3MzE5OzEyMDA7Mjc0MTszNjAw,https://rottentomatoes.com/m/children_of_the_night
Child's Play 3,Jack Bender,1991,United States,23,33%,https://resizing.flixster.com/uSfnx65bTGelkW-ut5_s2f79Hw8=/206x305/v1.bTsxMTYxNTA2NjtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/childs_play_3
Cthulhu Mansion,J. P. Simon,1991,Spain & United Kingdom,,0%,https://resizing.flixster.com/4orOns5kh3Z9QCp-12GJvJEBe58=/206x305/v1.bTsxMTIyNDcwODtqOzE3MzE5OzEyMDA7MTg5MDsyNTIw,https://rottentomatoes.com/m/cthulhu_mansion
Freddy's Dead: The Final Nightmare,Rachel Talalay,1991,United States,20,33%,https://resizing.flixster.com/yj7kWWwkm1ecALrhBSA3JoqTCNU=/206x305/v1.bTsxMTM3Mjg0NjtqOzE3MzIxOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/freddys_dead_the_final_nightmare
Hiruko the Goblin,Shinya Tsukamoto,1991,Japan,,55%,https://resizing.flixster.com/D2hgD1NP-4bYBZw1xlwbeIiuCac=/206x305/v1.bTszMDg4OTE7ajsxNzI4MzsxMjAwOzM1MDs1MDA,https://rottentomatoes.com/m/hiruko_the_goblin
Howling VI: The Freaks,Hope Perello,1991,United States,,18%,https://resizing.flixster.com/D-9rbIY8hg0ozKyCaYk9CaNHaC4=/206x305/v1.bTsxMTYyMjAyNjtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/howling_vi_the_freaks
I Hate You... Not,Eiichi Uchida,1991,Japan,,,,
Immortal Sins,Herve Hachuel,1991,Spain,,11%,https://resizing.flixster.com/kNAUfyPD-UoczSRHWTXo1WykfYE=/206x305/v1.bTsxMTIxNjUyNTtqOzE3MzE5OzEyMDA7OTk5OzEzMzI,https://rottentomatoes.com/m/immortal_sins
Last Dance,Tony Markes,1991,United States,,20%,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/1038048-last_dance
Mikadroid: Robokill Beneath Discoclub Layla,"Satoo Haraguchi, Tomo'o Haraguchi",1991,Japan,,,,
The Moonlight Sonata,Olli Soinio,1991,Finland,,,,
Nekromantik 2,J&ouml;rg Buttgereit,1991,Germany,,,,
Omen IV: The Awakening,Dominique Othenin-Girard,1991,United States,20,24%,https://resizing.flixster.com/x8-x2wp_BEZEeizENdm-L0X4hpM=/206x305/v1.bTsxMTIxMTIxMztqOzE3MzE5OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/omen_iv_the_awakening
Pale Blood,"V.V. Dachin Hsu, Michael W. Leighton",1991,United Kingdom & United States,,20%,https://resizing.flixster.com/7YaJuGkAQGIabhgheysPesfUFYI=/206x305/v1.bTsxMTU2OTI2OTtqOzE3MzIzOzEyMDA7NjY3OzEyMDc,https://rottentomatoes.com/m/pale_blood
The People Under the Stairs,Wes Craven,1991,United States,61,58%,https://resizing.flixster.com/02BTXVJk8BEhGkAxRS6QujHJ4yU=/206x305/v1.bTsxMTE2ODg5MztqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/people_under_the_stairs
The Pit and the Pendulum,Stuart Gordon,1991,United States,56,39%,https://resizing.flixster.com/PRNr3FYZHtO2m01HQxt2cP7irxA=/206x305/v1.bTsxMTYxODk5MDtqOzE3MzI0OzEyMDA7Nzk4OzEwNjQ,https://rottentomatoes.com/m/1031984-pit_and_the_pendulum
Popcorn,Alan Ormsby,1991,United States,,,,
Puppet Master II,David W. Allen,1991,United States,,53%,https://resizing.flixster.com/PjpCFGatd0a_BuJ1CfSRarnZFlQ=/206x305/v1.bTsxMTYxOTA3OTtqOzE3MzI0OzEyMDA7NDUwOzYwMA,https://rottentomatoes.com/m/puppet_master_3_toulons_revenge
Puppet Master III: Toulon's Revenge,David DeCoteau,1991,United States,,53%,https://resizing.flixster.com/PjpCFGatd0a_BuJ1CfSRarnZFlQ=/206x305/v1.bTsxMTYxOTA3OTtqOzE3MzI0OzEyMDA7NDUwOzYwMA,https://rottentomatoes.com/m/puppet_master_3_toulons_revenge
The Rapture,Michael Tolkin,1991,United States,64,62%,https://resizing.flixster.com/xT71oTRpE2dmicZ5qM_RAHCPcX0=/206x305/v1.bTsxMTI5MTMzMTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/rapture
Revenge of Billy the Kid,Jim Groom,1991,United Kingdom,,,,
The Runestone,Willard Carroll,1991,United States,,20%,https://resizing.flixster.com/lAF-5Wha9A5WiEtuYfTQIHRIEgM=/206x305/v1.bTsxMTYyNDA2NTtqOzE3MzI0OzEyMDA7NTAwOzc1MA,https://rottentomatoes.com/m/runestone
Scanners II: The New Order,Christian Duguay,1991,Canada,,17%,https://resizing.flixster.com/gLc9gQqmSuG8mK5WAGMOKkZAeZc=/206x305/v1.bTsxMTIyNTE2MDtqOzE3MzE5OzEyMDA7MTQ0OTsxOTMy,https://rottentomatoes.com/m/scanners_2_the_new_order
Science Crazed,Ron Switzer,1991,Canada & United States,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/science_crazed
Servants of Twilight,Jeffrey Obrow,1991,United States,,29%,https://resizing.flixster.com/nB_jS8hqEHD7pGJCaKR44uACrg4=/206x305/v1.bTsxMTIyNDk3NjtqOzE3MzE5OzEyMDA7MTQ2MDsyMTE2,https://rottentomatoes.com/m/servants_of_twilight
"Silent Night, Deadly Night 5: The Toy Maker",Martin Kitrosser,1991,United States,,,,
Sometimes They Come Back,Tom McLoughlin,1991,United States,,50%,https://resizing.flixster.com/c6xLb987mgBmm6CYPiTZQNpH2tQ=/206x305/v1.bTsxMTI5MTU3NTtqOzE3MzIwOzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/sometimes_they_come_back
Sorority Babes in the Dance-A-Thon of Death,Todd Sheets,1991,United States,,,https://resizing.flixster.com/7e8QtL-TQ3H_vBXAYGluXpTK7ZE=/206x305/v1.bTsxMTI1ODA3ODtqOzE3MzIwOzEyMDA7MTAwMDsxNTAw,https://rottentomatoes.com/m/sorority_babes_in_the_danceathon_of_death
Speak of the Devil,Raphael Nussbaum,1991,United States,,,,
Steel and Lace,Ernest D. Farino,1991,United States,,,,
Ten Haunting Tales from the Japanese Underground,Norio Tsuruta,1991,Japan,,,,
Trancers II,Charles Band,1991,United States,,24%,https://resizing.flixster.com/ooOQejrMbm2gSAaXyh6OIYBDPwA=/206x305/v1.bTsxMTYxOTQ3NTtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/trancers_ii
Zombie Rampage,Todd Sheets,1991,United States,,10%,https://resizing.flixster.com/VJQDcH-31XAOg02n6mFxTfthwUw=/206x305/v1.bTsxMjExODI1NDtqOzE3Mjg1OzEyMDA7Nzc7MTQw,https://rottentomatoes.com/m/zombie_rampage
Alien 3,David Fincher,1992,United States & United Kingdom,44,47%,https://resizing.flixster.com/XF1XguBk17M_sBQ1L3J9uhvVS8M=/206x305/v1.bTsxMTI5MTM4NTtqOzE3MzIwOzEyMDA7MTExMDsxNDgw,https://rottentomatoes.com/m/alien_3
All Night Long,Katsuya Matsumura,1992,Japan,,,,
Amityville: It's About Time,Tony Randel,1992,United States,14,23%,https://resizing.flixster.com/eWY-3UFEQ45KCFWQu3rjobwtKmE=/206x305/v1.bTsxMTM3MjYxOTtqOzE3MzIxOzEyMDA7OTk2OzEzMjg,https://rottentomatoes.com/m/amityville_its_about_time
Basket Case 3: The Progeny,Frank Henenlotter,1992,United States,,31%,https://resizing.flixster.com/qQEXZF1KTloMcnmOSQYf8OcQ4fY=/206x305/v1.bTsxMTI5NjI5NDtqOzE3MzIwOzEyMDA7ODQ5OzExMzI,https://rottentomatoes.com/m/basket_case_3_the_progeny
Battle Girl: The Living Dead in Tokyo Bay,Kazuo Komizu,1992,Japan,,40%,https://resizing.flixster.com/ju-OcvCfX5LkI8aYNg3f3OKHkuY=/206x305/v1.bTsxMjEwOTY2MDtqOzE3Mjg1OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/battle_girl_the_living_dead_in_tokyo_bay
Braindead,Peter Jackson,1992,New Zealand,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/gorgeous_braids_video
Buffy the Vampire Slayer,Fran Rubel Kuzui,1992,United States,35,43%,https://resizing.flixster.com/DgpDda5SPNAFt5GIIMlFRSK0LtQ=/206x305/v1.bTsxMTI5MDI3NztqOzE3MzIwOzEyMDA7MTIzNjsxNjQ4,https://rottentomatoes.com/m/buffy_the_vampire_slayer
The Burning Moon,Olaf Ittenbach,1992,Germany,,43%,https://resizing.flixster.com/MR_J8d3QlYSDrtoS9LSOS-Ul70A=/206x305/v1.bTsxMjEyMzMwMDtqOzE3Mjg1OzEyMDA7MzAwOzMwMA,https://rottentomatoes.com/m/the_burning_moon
Candyman,Bernard Rose,1992,United States,69,61%,https://resizing.flixster.com/ITVWTkQ4JMiIEg4CyUrhIR5gDPE=/206x305/v1.bTsxMTI5MTgyMjtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/candyman
Dangerous Seductress,H. Tjut Djalil,1992,Indonesia & Philippines,,,,
Demonic Toys,Peter Manoogian,1992,United States,,31%,https://resizing.flixster.com/wHkRbY68LHfsPpITGJmMaMQ-NMg=/206x305/v1.bTsxMTYyMjkwMztqOzE3MzI0OzEyMDA7NDUwOzYwMA,https://rottentomatoes.com/m/demonic_toys
Dolly Dearest,Maria Lease,1992,United States,,34%,https://resizing.flixster.com/2vA8osGzpRYJW8AORsB7sadTZCQ=/206x305/v1.bTsxMTIwOTU2NztqOzE3MzE5OzEyMDA7MTUxMDsyMDEz,https://rottentomatoes.com/m/dolly_dearest
Dr. Giggles,Manny Coto,1992,United States,27,42%,https://resizing.flixster.com/qWbr6_23jxPlXPX0Q-ubaNczu7Y=/206x305/v1.bTsxMTIwODU4MTtqOzE3MzE5OzEyMDA7MTk5NTsyNjYw,https://rottentomatoes.com/m/dr_giggles
Bram Stoker's Dracula,Francis Ford Coppola,1992,United States,78,79%,https://resizing.flixster.com/isLqIGSoQNYrWprI_TbwX4D9RXo=/206x305/v1.bTsxMTQ1NDM0MDtqOzE3MzIyOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/bram_stokers_dracula
Drillbit,Alex Chandon,1992,United Kingdom,,,,
Dust Devil,Richard Stanley,1992,United Kingdom & United States,29,61%,https://resizing.flixster.com/M9EOUvedsHPH_x_o0pfzoWTiq8s=/206x305/v1.bTsxMTcwMDA1MDtqOzE3MjgwOzEyMDA7MTI5Njs3MjA,https://rottentomatoes.com/m/dust_devil
Fraternity Demon,C.B. Rubin,1992,United States,,,https://resizing.flixster.com/jUFFyF6JQ9Q7SsDpQUmdwBH5vnQ=/206x305/v1.bTsxMTIzMTE1OTtqOzE3MzE5OzEyMDA7MTQ5NDsyMTM1,https://rottentomatoes.com/m/fraternity_demon
The Gate II: Trespassers,Tibor Tak&aacute;cs,1992,Canada,,22%,https://resizing.flixster.com/2Gx8cOc4rWbxmkBZ99FyoOlq7Hg=/206x305/v1.bTsxMjExMjk3NztqOzE3Mjg1OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/the_gate_ii_trespassers
Grave Secrets: The Legacy of Hilltop Drive,John Patterson,1992,United States,,59%,https://resizing.flixster.com/zjtYiKdLEUEnl_tz6tjpljfd0dQ=/206x305/v1.bTsxMTYxNjA2MjtqOzE3MzI0OzEyMDA7NDUwOzU4Mw,https://rottentomatoes.com/m/grave_secrets_the_legacy_of_hilltop_drive
The Guard from Underground,Kiyoshi Kurosawa,1992,Japan,,13%,https://resizing.flixster.com/OwCP_yTOGdP25DbaY0Q5IGEaIqs=/206x305/v1.bTsxMDg5MzIwMDtqOzE3MzE2OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/guard_from_underground
Hellmaster,Douglas Schulze,1992,United States,,0%,https://resizing.flixster.com/cD4TomPgSKSgMdpWHdyffQpOD6U=/206x305/v1.bTsxMTI1MjYxOTtqOzE3MzIwOzEyMDA7MTUxNjsyMTQy,https://rottentomatoes.com/m/hellmaster
Hellraiser III: Hell on Earth,Anthony Hickox,1992,United States,17,36%,https://resizing.flixster.com/89TPkmrmqvZ1uf513wXUGzU3C-k=/206x305/v1.bTsxMTIxMzk5ODtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/hellraiser_iii_hell_on_earth
Highway to Hell,Ate de Jong,1992,United States,,,,
House IV,Lewis Abernathy,1992,United States,,,,
Innocent Blood,John Landis,1992,United States,41,44%,https://resizing.flixster.com/D0mfzRjJyImthm8dOpEHxrOjn3Q=/206x305/v1.bTsxMTI5MTIyMjtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/innocent_blood
The Lawnmower Man,Brett Leonard,1992,United Kingdom,38,31%,https://resizing.flixster.com/tMv4V4j2NY-IydwB2FDhlBY2RVw=/206x305/v1.bTsxMTI5MTUxNDtqOzE3MzIwOzEyMDA7MjEzMzsyODQ0,https://rottentomatoes.com/m/the_lawnmower_man
Mad at the Moon,Martin Donovan,1992,United States,,20%,https://resizing.flixster.com/akVPbnYJd9HFFYwQp7Ub60I5FWQ=/206x305/v1.bTsxMTU1MTAxNjtqOzE3MzIzOzEyMDA7NTgwOzg1OA,https://rottentomatoes.com/m/mad_at_the_moon
Man Bites Dog,R&eacute;my Belvaux,1992,Belgium,76,90%,https://resizing.flixster.com/Hye_emvASCDPu8fPkHcXKecG6N8=/206x305/v1.bTsxMTI5MjcyNDtqOzE3MzIwOzEyMDA7MTUyNzsyMDM2,https://rottentomatoes.com/m/man_bites_dog
Maniac Cop III: Badge of Silence,William Lustig,1992,United States,,,,
Netherworld,David Schmoeller,1992,United States,,,,
Nightmare Asylum,Todd Sheets,1992,United States,,,,
Pet Sematary Two,Mary Lambert,1992,United States,26,30%,https://resizing.flixster.com/FYxohWcGXqOkZKYgSIK69fWwWTE=/206x305/v1.bTsxMTM3Mjc3NTtqOzE3MzIxOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/pet_sematary_ii
Prom Night IV: Deliver Us from Evil,Clay Borris,1992,United States & Canada,,,,
Reanimator Academy,Judith Priest,1992,United States,,,,
The Resurrected,Dan O'Bannon,1992,United Kingdom & United States,,,,
Scanners III: The Takeover,Christian Duguay,1992,Canada & United States,,17%,https://resizing.flixster.com/H4GegEmLiQEqobGLKQKSMMlyNsY=/206x305/v1.bTsxMTYyMDk4MjtqOzE3MzI0OzEyMDA7Njg5OzEwMDA,https://rottentomatoes.com/m/scanners_3_the_takeover
Sleepwalkers,Mick Garris,1992,United States,15,31%,https://resizing.flixster.com/dLVP2pLAtfM4t3GUow5ubGLi0j4=/206x305/v1.bTsxMTIwOTY4NztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/sleepwalkers
Spellcaster,Rafal Zielinski,1992,United States,,,,
Stepfather III,Guy Magar,1992,United States,,25%,https://resizing.flixster.com/naCwf-dt8zJ-UdbNP7MxiikP6o0=/206x305/v1.bTsxMTYyMDkyODtqOzE3MzI0OzEyMDA7NTYxOzc0OA,https://rottentomatoes.com/m/stepfather_iii
Tetsuo II: Body Hammer,Shinya Tsukamoto,1992,Japan,,,,
To Sleep with a Vampire,Adam Friedman,1992,United States,,,,
The Unnamable II: The Statement of Randolph Carter,Jean-Paul Ouellette,1992,United States,,,,
The Untold Story,Herman Yau,1992,Hong Kong,,,,
The Vagrant,Chris Walas,1992,France & United States,,41%,https://resizing.flixster.com/ol0lk1IPOxUJIxsOlihSqUynb34=/206x305/v1.bTsxMTYyMTcwMDtqOzE3MzI0OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/vagrant
Winterbeast,Christopher Thies,1992,United States,,75%,https://resizing.flixster.com/hPhIqPgykPW49InHlD9E4N-o_WQ=/206x305/v1.bTsxMTIxODA0MDtqOzE3MzE5OzEyMDA7MTQ5ODsyMTUw,https://rottentomatoes.com/m/winterbeast
Witchcraft IV: The Virgin Heart,James Merendino,1992,United States,,7%,https://resizing.flixster.com/s_9f-mkge2hSN9sfR0B_-jV2MP0=/206x305/v1.bTsxMTYxNTc5NDtqOzE3MzI0OzEyMDA7NjY2Ozg4Ng,https://rottentomatoes.com/m/witchcraft_iv_the_virgin_heart
